Column,Metafile heading,Metafile description,Methodology changes,Null field for special schools,Null field for local authority records,Null field for National (all schools) records,Null field for National (maintained schools) records
63,ATT8SCRMAT,Average Attainment 8 score per pupil for mathematics element,,,,,
64,TOTATT8EBAC,Total sum of Attainment 8 scores for EBacc element,,,,,
65,ATT8SCREBAC,Average Attainment 8 score per pupil for EBacc element,,,,,
66,TOTATT8OPEN,Total sum of Attainment 8 scores for open element,,,,,
67,ATT8SCROPEN,Average Attainment 8 score per pupil for open element,,,,,
68,TOTATT8OPENG,Total sum of Attainment 8 scores for open element - GCSE only,,,,,
69,ATT8SCROPENG,Average Attainment 8 score per pupil for open element - GCSE only,,,,,
70,TOTATT8OPENNG,Total sum of Attainment 8 scores for open element - non-GCSE only,,,,,
71,ATT8SCROPENNG,Average Attainment 8 score per pupil for open element - non-GCSE only,,,,,
72,AVGEBACFILL,Average number of EBacc slots filled in Attainment 8 per pupil,,,,,
73,AVGOPENFILL,Average number of Open slots filled in Attainment 8 per pupil,,,,,
74,P8PUP,Number of pupils included in Progress 8 measure,,,,Yes,
75,TP8ADJ,Number of pupils who have had P8 score adjusted in average,Yes - see 2018 methodology sheet for methodology change,,,Yes,
76,P8MEACOV,Percentage of pupils at the end of key stage 4 included in Progress 8 measure,,,,Yes,
77,P8MEA,Progress 8 measure after adjustment for extreme scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
78,P8CILOW,Progress 8 lower 95% confidence interval for adjusted average,Yes - see 2018 methodology sheet for methodology change,,,,
79,P8CIUPP,Progress 8 upper 95% confidence interval for adjusted average,Yes - see 2018 methodology sheet for methodology change,,,,
80,P8MEA_ORIG,Progress 8 measure based on unadjusted pupil scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
81,P8CILOW_ORIG,Progress 8 lower 95% confidence interval for unadjusted average,Yes - see 2018 methodology sheet for methodology change,,,,
82,P8CIUPP_ORIG,Progress 8 upper 95% confidence interval for unadjusted average,Yes - see 2018 methodology sheet for methodology change,,,,
83,P8MEAENG,Progress 8 measure for English element,,,,Yes,
84,P8MEAENG_CILOW,Lower 95% confidence interval for Progress 8 English element,,,,Yes,Yes
85,P8MEAENG_CIUPP,Upper 95% confidence interval for Progress 8 English element,,,,Yes,Yes
86,P8MEAMAT,Progress 8 measure for mathematics element,,,,Yes,
87,P8MEAMAT_CILOW,Lower 95% confidence interval for Progress 8 maths element,,,,Yes,Yes
88,P8MEAMAT_CIUPP,Upper 95% confidence interval for Progress 8 maths element,,,,Yes,Yes
89,P8MEAEBAC,Progress 8 measure for EBacc element,,,,Yes,
90,P8MEAEBAC_CILOW,Lower 95% confidence interval for Progress 8 EBacc element,,,,Yes,Yes
91,P8MEAEBAC_CIUPP,Upper 95% confidence interval for Progress 8 EBacc element,,,,Yes,Yes
92,P8MEAOPEN,Progress 8 measure for open element,,,,Yes,
93,P8MEAOPEN_CILOW,Lower 95% confidence interval for Progress 8 open element,,,,Yes,Yes
94,P8MEAOPEN_CIUPP,Upper 95% confidence interval for Progress 8 open element,,,,Yes,Yes
95,PTL2BASICS_94,% of pupils achieving standard 9-4 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
96,PTL2BASICS_95,% of pupils achieving strong 9-5 passes in both English and mathematics GCSEs ,Yes - see 2017 methodology sheet for methodology change,,,,
97,TOTEBACCAPS,Total EBacc APS score per pupil,,,,,
98,EBACCAPS,Average EBacc APS score per pupil,,,,,
99,EBACCAPS_FSM6CLA1A,Average EBacc APS score per disadvantaged pupil,,,,,
100,EBACCAPS_NFSM6CLA1A,Average EBacc APS score per non-disadvantaged pupil,,,,,
101,EBACCAPS_LO,Average EBacc APS score per pupil with low prior attainment,,,,Yes,
102,EBACCAPS_AV,Average EBacc APS score per pupil with middle prior attainment,,,,Yes,
103,EBACCAPS_HI,Average EBacc APS score per pupil with high prior attainment,,,,Yes,
104,EBACCAPS_EAL,Average EBacc APS score per pupil for whom English is an additional language,,,,Yes,
105,EBACCAPS_GIRLS,Average EBacc APS score per girl,,,,,
106,EBACCAPS_BOYS,Average EBacc APS score per boy,,,,Yes,
107,EBACCAPS_NMOB,Average EBacc APS score per non-mobile pupil,,,,,
108,EBACCAPS_18,Average EBacc APS score per pupil in 2018,,,,,
109,EBACCAPS_FSM6CLA1A_18,Average EBacc APS score per disadvantaged pupil in 2018,,,,,
110,EBACCAPS_NFSM6CLA1A_18,Average EBacc APS score per non-disadvantaged pupil in 2018,,,,,
111,TEBACC_E_PTQ_EE,Number of key stage 4 pupils with entries in all English Baccalaureate subject areas,,,,,
112,PTEBACC_E_PTQ_EE,Percentage of key stage 4 pupils with entries in all English Baccalaureate subject areas,,,,,
113,PTEBACC_94,Percentage of pupils achieving the English Baccalaureate with 9-4 passes,Yes - see 2018 methodology sheet for methodology change,,,,
114,PTEBACC_95,Percentage of pupils achieving the English Baccalaureate with 9-5 passes,Yes - see 2018 methodology sheet for methodology change,,,,
115,TEBACENG_E_PTQ_EE,Number of pupils entering the English Baccalaureate English subject area,,,,,
116,PTEBACENG_E_PTQ_EE,Percentage of pupils entering the English Baccalaureate English subject area,,,,,
117,TEBACMAT_E_PTQ_EE,Number of pupils entering the English Baccalaureate Maths subject area,,,,,
118,PTEBACMAT_E_PTQ_EE,Percentage of pupils entering the English Baccalaureate Maths subject area,,,,,
119,TEBAC2SCI_E_PTQ_EE,Number of pupils entering the English Baccalaureate Science subject area,,,,,
120,PTEBAC2SCI_E_PTQ_EE,% of pupils entering the English Baccalaureate Science subject area,,,,,
121,TEBACHUM_E_PTQ_EE,Number of pupils entering the English Baccalaureate Humanities subject area,,,,,
122,PTEBACHUM_E_PTQ_EE,% of pupils entering the English Baccalaureate Humanities subject area,,,,,
123,TEBACLAN_E_PTQ_EE,Number of pupils entering the English Baccalaureate Language subject area,,,,,
124,PTEBACLAN_E_PTQ_EE,% of pupils entering the English Baccalaureate Language subject area,,,,,
125,PTEBACENG_94,% of pupils achieving the EBacc English subject area with a standard 9-4 pass,Yes - see 2017 methodology sheet for methodology change,,,,
126,PTEBACENG_95,% of pupils achieving the EBacc English subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
127,PTEBACMAT_94, % of pupils achieving the EBacc Maths subject area with a standard 9-4 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
128,PTEBACMAT_95, % of pupils achieving the EBacc Maths subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
129,PTEBAC2SCI_94, % of entered pupils achieving the EBacc Science subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
130,PTEBAC2SCI_95, % of entered pupils achieving the EBacc Science subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
131,PTEBACHUM_94, % of entered pupils achieving the EBacc Humanities subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
132,PTEBACHUM_95, % of entered pupils achieving the EBacc Humanities subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
133,PTEBACLAN_94, % of entered pupils achieving the EBacc Language subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
134,PTEBACLAN_95, % of entered pupils achieving the EBacc Language subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
135,SCIVACOV_PTQ_EE,Coverage of the English Baccalaureate Science Value Added indicators of those who entered for science,,,Yes,Yes,Yes
136,HUMVACOV_PTQ_EE,Coverage of the English Baccalaureate Humanities Value Added indicators of those who entered for humanities,,,Yes,Yes,Yes
137,LANVACOV_PTQ_EE,Coverage of the English Baccalaureate Language Value Added indicators of those who entered for languages,,,Yes,Yes,Yes
138,SCIVAMEA_PTQ_EE,English Baccalaureate Science Value Added measure,,,Yes,Yes,Yes
139,SCIVALOW_PTQ_EE,English Baccalaureate Science Value Added lower 95% confidence limit,,,Yes,Yes,Yes
140,SCIVAUPP_PTQ_EE,English Baccalaureate Science Value Added upper 95% confidence limit,,,Yes,Yes,Yes
141,HUMVAMEA_PTQ_EE,EBacc Humanities VA measure,,,Yes,Yes,Yes
142,HUMVALOW_PTQ_EE,English Baccalaureate Humanities Value Added lower 95% confidence limit,,,Yes,Yes,Yes
143,HUMVAUPP_PTQ_EE,English Baccalaureate Humanities Value Added upper 95% confidence limit,,,Yes,Yes,Yes
144,LANVAMEA_PTQ_EE,English Baccalaureate Languages Value Added measure,,,Yes,Yes,Yes
145,LANVALOW_PTQ_EE,English Baccalaureate Languages Value Added lower 95% confidence limit,,,Yes,Yes,Yes
146,LANVAUPP_PTQ_EE,English Baccalaureate Languages Value Added upper 95% confidence limit,,,Yes,Yes,Yes
147,TEBACENG_94,Number of pupils achieving EBacc English subject area with a standard 9-4 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
148,TEBACENG_95,Number of pupils achieving EBacc English subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
149,TEBACMAT_94,Number of pupils achieving EBacc Maths subject area with a standard 9-4 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
150,TEBACMAT_95,Number of pupils achieving EBacc Maths subject area with a strong 9-5 pass ,Yes - see 2017 methodology sheet for methodology change,,,,
151,TEBAC2SCI_94,Number of pupils achieving EBacc Science subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
152,TEBAC2SCI_95,Number of pupils achieving EBacc Science subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
153,TEBACHUM_94,Number of pupils achieving EBacc Humanities subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
154,TEBACHUM_95,Number of pupils achieving EBacc Humanities subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
155,TEBACLAN_94,Number of pupils achieving EBacc Language subject area with a 9-4 pass,Yes - see 2018 methodology sheet for methodology change,,,,
156,TEBACLAN_95,Number of pupils achieving EBacc Language subject area with a 9-5 pass,Yes - see 2018 methodology sheet for methodology change,,,,
157,TEBACC91,Number of pupils achieving the English Baccalaureate at grades 9-1,,,,,
158,PTEBACC91, % of pupils achieving the English Baccalaureate at grades 9-1 ,,,,,
159,TEBACENG91,Number of pupils achieving EBacc English subject area at grade 9-1,,,,,
160,PTEBACENG91,% of pupils achieving the EBacc English subject area at grade 9-1,,,,,
161,TEBACMAT91,Number of pupils achieving EBacc Maths subject area at grade 9-1,,,,,
162,PTEBACMAT91, % of pupils achieving the EBacc Maths subject area at grade 9-1,,,,,
163,TEBAC2SCI91,Number of pupils achieving EBacc Science subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
164,PTEBAC2SCI91, % entered pupils achieving the EBacc Science subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
165,TEBACHUM91,Number of pupils achieving EBacc Humanities subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
166,PTEBACHUM91, % entered pupils achieving the EBacc Humanities subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
167,TEBACLAN91,Number of pupils achieving EBacc Language subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
168,PTEBACLAN91, % of entered pupils achieving the EBacc Language subject area with grades 9-1,Yes - see 2018 methodology sheet for methodology change,,,,
169,ATT8SCR_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil,,,,Yes,
170,P8PUP_FSM6CLA1A,Number of disadvantaged pupils in Progress 8 measure,,,,Yes,
171,TP8ADJ_FSM6CLA1A,Number of disadvantaged pupils in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
172,P8MEA_FSM6CLA1A,Adjusted Progress 8 measure - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
173,P8CILOW_FSM6CLA1A,Adjusted Progress 8 lower 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
174,P8CIUPP_FSM6CLA1A,Adjusted Progress 8 upper 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
175,P8MEA_FSM6CLA1A_ORIG,Unadjusted Progress 8 measure - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
176,P8CILOW_FSM6CLA1A_ORIG,Unadjusted Progress 8 lower 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
177,P8CIUPP_FSM6CLA1A_ORIG,Unadjusted Progress 8 upper 95% confidence interval - disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
178,ATT8SCR_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil,,,,Yes,
179,P8PUP_NFSM6CLA1A,Number of non-disadvantaged pupils in Progress 8 measure,,,,Yes,
180,TP8ADJ_NFSM6CLA1A,Number of non-disadvantaged pupils in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,,Yes,
181,P8MEA_NFSM6CLA1A,Adjusted Progress 8 measure - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
182,P8CILOW_NFSM6CLA1A,Progress 8 lower 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
183,P8CIUPP_NFSM6CLA1A,Progress 8 upper 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
184,P8MEA_NFSM6CLA1A_ORIG,Unadjusted Progress 8 measure - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
185,P8CILOW_NFSM6CLA1A_ORIG,Unadjusted Progress 8 lower 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
186,P8CIUPP_NFSM6CLA1A_ORIG,Unadjusted Progress 8 upper 95% confidence interval - non-disadvantaged pupils,Yes - see 2018 methodology sheet for methodology change,,,Yes,
187,ATT8SCRENG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for English element,,,,Yes,
188,P8MEAENG_FSM6CLA1A,Progress 8 measure for English element - disadvantaged pupils,,,,Yes,
189,P8MEAENG_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 English element for disadvantaged pupils,,,,Yes,
190,P8MEAENG_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 English element for disadvantaged pupils,,,,Yes,
191,ATT8SCRMAT_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for mathematics element,,,,Yes,
192,P8MEAMAT_FSM6CLA1A,Progress 8 measure for maths element - disadvantaged pupils,,,,Yes,
193,P8MEAMAT_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 maths element for disadvantaged pupils,,,,Yes,
194,P8MEAMAT_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 maths element for disadvantaged pupils,,,,Yes,
195,ATT8SCREBAC_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for EBacc element,,,,Yes,
196,P8MEAEBAC_FSM6CLA1A,Progress 8 measure for EBacc element - disadvantaged pupils,,,,Yes,
197,P8MEAEBAC_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 EBacc element for disadvantaged pupils,,,,Yes,
198,P8MEAEBAC_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 EBacc element for disadvantaged pupils,,,,Yes,
199,ATT8SCROPEN_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element,,,,Yes,
200,P8MEAOPEN_FSM6CLA1A,Progress 8 measure for open element - disadvantaged pupils,,,,Yes,
201,P8MEAOPEN_CILOW_FSM6CLA1A,Lower 95% confidence interval for Progress 8 open element for disadvantaged pupils,,,,Yes,
202,P8MEAOPEN_CIUPP_FSM6CLA1A,Upper 95% confidence interval for Progress 8 open element for disadvantaged pupils,,,,Yes,
203,ATT8SCRENG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for English element,,,,Yes,
204,P8MEAENG_NFSM6CLA1A,Progress 8 measure for English element - non-disadvantaged pupils,,,,Yes,
205,P8MEAENG_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 English element for non-disadvantaged pupils,,,,Yes,
206,P8MEAENG_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 English element for non-disadvantaged pupils,,,,Yes,
207,ATT8SCRMAT_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for mathematics element,,,,Yes,
208,P8MEAMAT_NFSM6CLA1A,Progress 8 measure for maths element - non-disadvantaged pupils,,,,Yes,
209,P8MEAMAT_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 maths element for non-disadvantaged pupils,,,,Yes,
210,P8MEAMAT_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 maths element for non-disadvantaged pupils,,,,Yes,
211,ATT8SCREBAC_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for EBacc element,,,,Yes,
212,P8MEAEBAC_NFSM6CLA1A,Progress 8 measure for EBacc element - non-disadvantaged pupils,,,,Yes,
213,P8MEAEBAC_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 EBacc element for non-disadvantaged pupils,,,,Yes,
214,P8MEAEBAC_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 EBacc element for non-disadvantaged pupils,,,,Yes,
215,ATT8SCROPEN_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element,,,,Yes,
216,P8MEAOPEN_NFSM6CLA1A,Progress 8 measure for open element - non-disadvantaged pupils,,,,Yes,
217,P8MEAOPEN_CILOW_NFSM6CLA1A,Lower 95% confidence interval for Progress 8 open element for non-disadvantaged pupils,,,,Yes,
218,P8MEAOPEN_CIUPP_NFSM6CLA1A,Upper 95% confidence interval for Progress 8 open element for non-disadvantaged pupils,,,,Yes,
219,ATT8SCROPENG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element - GCSE only,,,,Yes,
220,ATT8SCROPENNG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element - non-GCSE only,,,,Yes,
221,ATT8SCROPENG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element - GCSE only,,,,Yes,
222,ATT8SCROPENNG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element - non-GCSE only,,,,Yes,
223,DIFFN_ATT8,Difference between Attainment 8 for disadvantaged pupils in school/LA and non-disadvantaged pupils nationally,,,Yes,Yes,Yes
224,DIFFN_P8MEA,Difference between Progress 8 measure for disadvantaged pupils in school/LA and non-disadvantaged pupils nationally,,,Yes,Yes,Yes
225,ATT8SCR_LO,Average Attainment 8 score per pupil with low prior attainment,,,Yes,Yes,Yes
226,P8PUP_LO,Number of pupils with low prior attainment included in Progress 8 measure,,,Yes,Yes,Yes
227,TP8ADJ_LO,Number of pupils with low prior attainments in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
228,P8MEA_LO,Adjusted Progress 8 measure - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
229,P8CILOW_LO,Adjusted Progress 8 lower 95% confidence interval - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
230,P8CIUPP_LO,Adjusted Progress 8 upper 95% confidence interval - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
231,P8MEA_LO_ORIG,Unadjusted Progress 8 measure - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
232,P8CILOW_LO_ORIG,Unadjusted Progress 8 lower 95% confidence interval - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
233,P8CIUPP_LO_ORIG,Unadjusted Progress 8 upper 95% confidence interval - pupils with low prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
234,ATT8SCR_AV,Average Attainment 8 score per pupil with middle prior attainment,,,Yes,Yes,Yes
235,P8PUP_AV,Number of pupils with middle prior attainment included in Progress 8 measure,,,Yes,Yes,Yes
236,TP8ADJ_AV,Number of pupils with middle prior attainments in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
237,P8MEA_AV,Adjusted Progress 8 measure - pupils with middle prior attainment,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
238,P8CILOW_AV,Progress 8 lower 95% confidence interval - pupils with middle prior attainment,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
239,P8CIUPP_AV,Progress 8 upper 95% confidence interval - pupils with middle prior attainment,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
240,P8MEA_AV_ORIG,Unadjusted Progress 8 measure - pupils with middle prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
241,P8CILOW_AV_ORIG,Unadjusted Progress 8 lower 95% confidence interval - pupils with middle prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
242,P8CIUPP_AV_ORIG,Unadjusted Progress 8 upper 95% confidence interval - pupils with middle prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
243,ATT8SCR_HI,Average Attainment 8 score per pupil with high prior attainment,,,Yes,Yes,Yes
244,P8PUP_HI,Number of pupils with high prior attainment included in Progress 8 measure,,,Yes,Yes,Yes
245,TP8ADJ_HI,Number of pupils with high prior attainments in progress measure with adjusted scores,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
246,P8MEA_HI,Adjusted Progress 8 measure - pupils with high prior attainment,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
247,P8CILOW_HI,Progress 8 lower 95% confidence interval - pupils with high prior attainment,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
248,P8CIUPP_HI,Progress 8 upper 95% confidence interval - pupils with high prior attainment,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
249,P8MEA_HI_ORIG,Unadjusted Progress 8 measure - pupils with high prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
250,P8CILOW_HI_ORIG,Unadjusted Progress 8 lower 95% confidence interval - pupils with high prior attainments,Yes - see 2018 methodology sheet for methodology change,,Yes,Yes,Yes
